video,VLM_caption
scene_129.mp4,"tool_use_object_manipulation, locomotion_travel"
scene_130.mp4,"aggressive_dominance, locomotion_travel"
scene_131.mp4,"aggressive_dominance, locomotion_travel"
scene_132.mp4,transport_object_or_food
scene_133.mp4,transport_object_or_food
scene_134.mp4,"maternal_care, transport_object_or_food"
scene_135.mp4,"tool_use_object_manipulation, locomotion_travel"
scene_136.mp4,transport_object_or_food
scene_137.mp4,"tool_use_object_manipulation, locomotion_travel"
scene_139.mp4,"transport_object_or_food, locomotion_travel"
scene_140.mp4,"transport_object_or_food, locomotion_travel"
scene_141.mp4,"transport_object_or_food, locomotion_travel"
scene_142.mp4,"aggressive_dominance, locomotion_travel"
scene_143.mp4,"social_affiliative, locomotion_travel"
scene_144.mp4,"transport_object_or_food, locomotion_travel"
